order_number,date,casting_weight_gr,material,modul,inoculant_weight_gr
170631673,11/11/2022,14107,S,1.15,491
170631657,11/11/2022,27064,G,1.73,587
170631655,11/12/2022,31212,G,1.95,507
170631637,11/21/2022,12964,F,1.24,144
170631635,11/11/2022,15667,S,1.12,611
170631631,11/11/2022,14117,G,1.92,238
170631629,11/21/2022,13138,F,1.45,144
170631625,11/11/2022,28478,G,1.94,479
170631623,11/21/2022,26275,F,1.45,288
170631615,11/12/2022,28560,S,0.95,1344
170631613,11/15/2022,24317,S,0.94,1149
170631609,11/11/2022,57528,S,0.99,2317
170631607,11/15/2022,149661,G,1.98,2473
170631605,11/12/2022,172747,G,2.11,2639
170631603,11/12/2022,142596,G,2.09,2187
170631601,11/11/2022,124195,G,2.23,1854
170631595,11/15/2022,23664,S,0.95,1143
170631593,11/15/2022,34707,S,0.96,1556
170631591,11/15/2022,33456,S,0.92,1654
170631589,11/21/2022,32028,F,1.15,326
170631587,11/11/2022,65239,S,1.1,2617
170631585,11/11/2022,41235,S,1.1,1622
170631583,11/14/2022,36414,S,0.95,1846
170631581,11/14/2022,16701,S,0.96,773
170631579,11/14/2022,31178,S,0.93,1466
170631577,11/14/2022,15830,S,0.94,763
170631575,11/13/2022,24113,I,3.37,639
170631573,11/14/2022,21692,S,0.96,973
170631715,11/12/2022,233335,G,2.2,3408
170631819,11/15/2022,17408,S,0.93,833
170631817,11/17/2022,30396,I,2.58,731
170631815,11/15/2022,19448,S,0.98,855
170631813,11/12/2022,36047,F,1.15,352
170631809,11/12/2022,479808,S,1.44,11731
170631807,11/12/2022,479808,S,1.44,11731
170631805,11/12/2022,479808,S,1.44,11731
170631803,11/17/2022,579068,I,1.48,7768
170631801,11/14/2022,663809,I,1.48,8903
170631799,11/21/2022,14933,F,3.05,292
170631793,11/12/2022,30532,S,1.34,747
170631789,11/12/2022,31212,G,1.8,591
170631785,11/12/2022,12376,G,1.68,282
170631783,11/12/2022,12689,S,0.97,581
170631775,11/17/2022,35333,I,2.28,743
170631773,11/12/2022,43207,G,1.75,919
170631769,11/12/2022,28778,G,1.76,605
170631767,11/17/2022,60044,I,2.11,1248
170631763,11/15/2022,19149,S,0.98,797
170631761,11/16/2022,23256,S,0.97,989
170631759,11/16/2022,19890,S,0.92,1023
170631757,11/16/2022,13005,S,0.93,625
170631755,11/16/2022,11577,S,0.92,611
170631753,11/14/2022,15164,S,0.92,811
170631751,11/16/2022,22440,S,1.11,807
170631749,11/14/2022,43207,S,1.35,1324
170631747,11/14/2022,36720,S,1.31,1165
170631745,11/14/2022,36176,S,1.3,1119
170631743,11/14/2022,43982,S,1.31,1256
170631741,11/14/2022,44166,S,1.72,939
170631739,11/14/2022,20074,S,1.1,807
170631737,11/14/2022,24276,S,1.09,903
170631735,11/14/2022,21325,S,1.12,819
170631733,11/16/2022,27540,S,1.01,1266
170631731,11/16/2022,18360,S,1.01,843
170631729,11/15/2022,183634,G,2.11,2663
170631727,11/15/2022,127398,G,1.81,2495
170631725,11/12/2022,140138,G,1.81,2746
170631721,11/12/2022,236953,S,1.42,6132
170631717,11/12/2022,174454,S,1.23,4822
170632055,11/25/2022,68187,F,2.68,1188
170632563,11/22/2022,24806,G,1.82,493
170632569,11/22/2022,156556,G,1.96,2465
170632573,11/22/2022,163662,G,2.16,2475
170632579,11/22/2022,34068,G,2,567
170632581,11/25/2022,28193,G,1.9,477
170632585,11/22/2022,22358,G,1.8,417
170632593,11/22/2022,27826,G,1.88,473
170632595,11/22/2022,23800,G,1.66,555
170632599,11/22/2022,41188,G,1.87,703
170632601,11/22/2022,23827,G,1.67,555
170632607,11/22/2022,100674,G,2,1682
170632619,11/23/2022,25772,S,1.1,1013
170632625,11/24/2022,49144,S,1.28,1580
170632629,11/24/2022,21726,S,1.27,713
170632635,11/24/2022,44676,S,1.28,1436
170632639,11/22/2022,22712,G,2,378
170632641,11/25/2022,26316,G,1.87,457
170632649,11/23/2022,16538,S,0.96,771
170632651,11/24/2022,25024,S,1.11,1007
170632659,11/26/2022,86496,S,1.24,2273
170632663,11/24/2022,203674,G,1.96,3298
170632665,11/24/2022,203674,G,1.96,3298
170632667,11/25/2022,203674,G,1.96,3298
170632669,11/24/2022,220075,G,1.6,4482
170632559,11/22/2022,37210,G,1.82,739
170632459,11/23/2022,22630,S,1.12,831
170632465,11/23/2022,22358,S,1.12,829
170632471,11/22/2022,17993,G,1.85,364
170632475,11/22/2022,193419,G,2.16,2926
170632477,11/24/2022,43666,G,1.91,727
170632481,11/22/2022,51136,G,1.71,1143
170632483,11/24/2022,46546,G,1.87,927
170632487,11/24/2022,44254,G,1.86,743
170632493,11/22/2022,56780,G,2,943
170632495,11/24/2022,29743,G,1.91,493
170632499,11/22/2022,39290,G,1.71,867
170632503,11/24/2022,30172,G,1.94,497
170632505,11/22/2022,39005,G,1.71,865
170632511,11/23/2022,14657,S,1.15,497
170632515,11/26/2022,19492,F,1.11,180
170632517,11/23/2022,19339,S,1.15,659
170632525,11/22/2022,84701,G,1.92,1428
170632531,11/22/2022,14117,G,1.92,238
170632537,11/22/2022,15178,G,1.96,250
170632539,11/22/2022,15086,G,1.96,248
170632545,11/22/2022,15178,G,1.96,250
170632547,11/22/2022,27989,G,1.49,751
170632551,11/24/2022,55202,G,2.08,817
170632553,11/24/2022,54978,G,1.6,1029
170632775,11/26/2022,51102,S,1.33,1502
170632779,11/26/2022,47685,S,1.02,2289
170632789,11/26/2022,18197,S,1.13,637
170632795,11/26/2022,209114,S,1.53,4161
170632801,11/24/2022,57559,G,2.06,871
170632803,11/25/2022,44186,G,1.66,825
170632805,11/25/2022,63281,G,1.96,1021
170632807,11/25/2022,31732,G,1.66,605
170632809,11/25/2022,114121,G,2.09,1668
170632825,11/25/2022,140400,G,2.05,2235
170632829,11/24/2022,36751,G,1.84,657
170632831,11/25/2022,31661,G,1.99,511
170632835,11/24/2022,71910,G,1.83,1296
170632841,11/28/2022,44492,G,1.92,737
170632843,11/24/2022,82579,G,1.73,1774
170632849,11/23/2022,47940,S,1.06,1796
170632851,11/24/2022,45315,S,1.07,1682
170632853,11/23/2022,75001,S,1.49,1800
170632869,11/26/2022,34762,S,1.25,877
170632875,11/24/2022,29804,S,1.64,649
170632877,11/24/2022,43955,S,1.24,957
170632879,11/24/2022,13739,S,1.04,487
170632889,11/24/2022,18754,G,1.59,495
170632909,11/24/2022,25480,G,1.81,501
170632771,11/26/2022,36652,S,1.05,1522
170632671,11/25/2022,220075,G,1.6,4482
170632673,11/25/2022,220075,G,1.6,4482
170632687,11/24/2022,204408,G,1.42,4942
170632689,11/25/2022,204408,G,1.42,4942
170632691,11/25/2022,204408,G,1.42,4942
170632701,11/28/2022,312120,G,1.95,5060
170632703,11/28/2022,312120,G,1.95,5060
170632709,11/28/2022,343332,G,1.95,5567
170632719,11/28/2022,389099,G,1.66,7421
170632723,11/28/2022,192688,G,2.16,2727
170632725,11/28/2022,192688,G,2.16,2727
170632735,11/28/2022,207298,G,2.24,3068
170632737,11/28/2022,207298,G,2.24,3068
170632741,11/28/2022,245310,G,2.06,3727
170632743,11/28/2022,245310,G,2.06,3727
170632745,11/26/2022,13464,S,0.96,589
170632747,11/26/2022,24888,S,1.07,1115
